name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
Usual USD0,RWA,Ethereum,9250,65237,284592,-0.48,-1.57
Falcon Finance,Basis Trading,Ethereum,9219,70464,320903,-19.32,-19.99
Suilend,Lending,Sui,9126,67663,318899,-17.67,-35.61
Saphyre V3,Dexs,Sei,8951,83250,508881,-42.71,-73.16
sDAI,Yield,Gnosis,8904,52790,243053,66.24,12.03
SynFutures V3,Derivatives,Blast;Base,8867,62166,268637,8.4,-21.56
Monster,Physical TCG,MegaETH;Off Chain,8798,108489,749768,-32.08,-120.05
SoDEX Perps,Derivatives,ValueChain,8741,53897,230899,-1.52,-38.31
DODO AMM,Dexs,BSC;Ethereum;Aurora;Polygon;Arbitrum;Boba;Defi Oracle Meta,8702,58190,259584,1.55,-3.87
Loopscale,Lending,Solana,8678,58913,244945,2.44,4.05
MineBean,Gamified Mining,Base,8359,60033,320688,4.92,-6.42
PancakeSwap Prediction,Prediction Market,BSC,8244,58971,289269,-13.01,-28.78
Ramses CL V2,Dexs,Arbitrum;Polygon;Hyperliquid L1,8201,54170,313146,-9.93,-25.99
SushiSwap V3,Dexs,OP Mainnet;Polygon zkEVM;Moonriver;Arbitrum Nova;ThunderCore;BSC;Boba;Ethereum;Gnosis;Avalanche;Polygon;Arbitrum;Fantom;Fuse;Base;CORE;Blast;Bittorrent;Filecoin;Metis;Kava;Linea;Scroll;Rootstock;Hemi;Sonic;Katana,8067,48147,313766,62.77,-39.74
TxFlow Perps,Derivatives,TxFlow,8063,41958,86035,-13.27,33.76
Chainlink Requests,Oracle,BSC;OP Mainnet;Ethereum;Avalanche;Polygon;Arbitrum,7986,56512,199035,7.25,6.11
Shadow Exchange CLMM,Dexs,Sonic,7951,42647,109116,266.07,179.18
Tectonic,Lending,Cronos,7886,64708,287027,-13.3,-16.87
Fusion by IPOR,Yield Aggregator,Ethereum;Base;Arbitrum;Unichain;TAC;Ink;Katana;Plasma;Avalanche,7691,36248,149547,14.62,76.48
Base App,Wallets,OP Mainnet;Avalanche;Arbitrum;Polygon;BSC;Base;Ethereum,7604,85606,527928,2.36,-73.48
HyperSwap V3,Dexs,Hyperliquid L1,7551,66069,460223,-36.16,-45.35
Fidelity Digital Interest Token,RWA,Ethereum,7480,83414,413630,-25.92,-48.59
Doppler Finance,CeDeFi,XRPL;Ethereum,7436,47577,243060,10.07,5.55
Tokenlon AMM,Dexs,Ethereum,7190,38189,310369,19.02,-50.97
Sierra Protocol,Yield,Avalanche,7147,32906,106808,110.83,167.28
bloXroute,MEV,Solana;BSC,7140,45862,169118,-6,59.55
Brix,RWA,Ethereum,6934,48772,218696,0.35,-66.39
Renzo,Liquid Restaking,Ethereum,6885,48825,282337,4.33,1.46
Akash,Chain,Akash,6822,50285,218664,-4.44,-9.77
GAIB,RWA,Near;Ethereum,6792,47509,178666,-0.04,-0.53
Bluefin Spot,Dexs,Sui,6791,39267,246286,28.54,0.79
DoubleZero Edge,Developer Tools,Solana,6753,27310,110634,23186.21,2173.74
Sui Foundation,Canonical Bridge,Off Chain,6621,39829,198029,0,0.2
Legend Trade,Interface,Hyperliquid L1,6588,31815,105638,5.92,14.57
Miracle,Interface,Hyperliquid L1;Starknet;Ink,6562,60151,275048,-3.61,-11.46
Immutable Orderbook,NFT Marketplace,Immutable zkEVM,6548,41667,215322,-3.69,-1.92
Insilico Terminal,Interface,Hyperliquid L1;zkLighter,6473,41402,233031,-1.34,-38.97
Lista Liquid Staking,Liquid Staking,BSC,6470,65870,304496,-22.64,-2.77
Gala Swap,Dexs,Gala,6392,47319,220588,52.88,-9.55
AlphaFi stSUI,Liquid Staking,Sui,6352,40567,191756,7.57,2.57
Metaplex,Launchpad,Solana,6305,42185,121392,8.73,36.41
Tread.fi Perps,Interface,Hyperliquid L1;BSC;Solana;Paradex;Starknet;Ink,6141,21966,105427,-4.09,163.68
Jupiter Prediction,Interface,Solana,6122,70203,224817,-48.34,-53.29
Definity Staked SOL,Liquid Staking,Solana,6107,22751,79664,,
Liquid Perps,Interface,Hyperliquid L1,6097,28174,152930,39.26,95.73
Defi Saver Asset Management,CDP Manager,Ethereum,6072,154072,904621,-23.49,-69.3
Multipli.fi,Yield,BSC;Ethereum;Avalanche,5941,37152,140062,0.05,32.94
Gondi V3,NFT Lending,Ethereum;Hyperliquid L1,5940,30308,170285,56.11,5.3
Aave V4,Lending,Ethereum,5922,47063,167738,6.36,-28.94
Reservoir Protocol,CDP,Ethereum;Arbitrum;Monad;Sei,5884,46553,240120,-4.09,-20.99
BONKbot,Telegram Bot,Solana,5857,35236,158852,71.06,134.66
Reserve Protocol,Indexes,Ethereum;Base;BSC,5828,43566,125787,50.87,-7.83
Derive V2,Derivatives,Derive Chain,5819,43908,241480,21.03,-39.08
VanEck Treasury Fund,RWA,Solana;BSC;Ethereum;Avalanche,5750,38979,189944,3.27,5.45
FlashTrade,Derivatives,Solana,5646,31624,214296,-26.41,-20.42
Aptos,Chain,Aptos,5638,35646,147570,9.62,2.03
Ankr,Liquid Staking,Fantom;Ethereum;Avalanche;BSC;Flow,5545,12848,62697,330.51,9.61
PulseX V1,Dexs,PulseChain,5392,24800,141231,43.75,72.16
Berachain Incentive Buys,Chain,Berachain,5379,36364,169899,4.2,15.08
Allbridge Core,Bridge,BSC;Ethereum;Polygon;Tron;Arbitrum;Avalanche;OP Mainnet;Base;Stellar;Celo;Sonic;Unichain;Sui,5378,48228,91865,-82.63,338.3
Arbitrum Timeboost,MEV,Arbitrum,5367,32628,140912,5.28,56.61
Origin Ether,Liquid Staking,Ethereum;Base,5238,34564,154546,5.46,8.54
Neverland,Lending,Monad,5193,60682,458395,-26.88,-59.82
Circle CCTP,Bridge,Base;Ethereum;Linea;Arbitrum;Avalanche;Sonic;OP Mainnet;World Chain;Polygon;Unichain;Plume Mainnet;Hyperliquid L1;Ink;XDC;Monad,5146,28693,128571,-22.91,42.43
Definitive,DEX Aggregator,Ethereum;Base;OP Mainnet;Polygon;BSC;Arbitrum;Avalanche;Solana,5117,28283,186856,59.16,9.01
Rise.rich,Launchpad,Solana,5073,36749,301346,-24.79,-70.51
Balancer V2,Dexs,Ethereum;Polygon;Arbitrum;OP Mainnet;Gnosis;Avalanche;Base;Polygon zkEVM;Fraxtal;Mode,5027,25067,81118,-15.31,6.19
Axie Infinity,Gaming,Ethereum;Ronin,5026,28903,146411,-10.51,28.18
Monad,Chain,Monad,4999,30019,141721,-5.57,1.17
Convex Finance,Yield,Ethereum,4987,74010,692560,-47.34,-17.23
Fuel Ignition,Chain,Fuel Ignition,4948,29249,52940,18.57,-60.87
Streamflow,Payments,Solana,4915,64821,175646,-83.42,1.8
Robinhood Chain,Chain,Robinhood Chain,4846,7419,11238,248.13,2423.96
XAUE Protocol,RWA,Ethereum,4823,22504,77381,2.9,111.81
AFX Perps,Derivatives,AFX L1,4813,28974,130659,22.66,-6.12
Meteora DAMM V1,Dexs,Solana,4803,80930,194079,28.94,-63.82
LaunchLab,Launchpad,Solana,4767,23174,36428,25.88,782.78
Minswap DEX,Dexs,Cardano,4752,26616,294068,8.84,-16.46
Makina,Onchain Capital Allocator,Ethereum,4717,12259,43360,186.75,106.07
Felix Vaults,Onchain Capital Allocator,Hyperliquid L1,4710,29765,162882,-2.59,20.58
Tydro,Lending,Ink,4684,31930,1314456,-11.79,19.06
OneKey Perps,Interface,Hyperliquid L1,4676,21909,139977,-13.79,64.53
PayCash,Dexs,Vaulta,4659,107519,523050,-74.97,-82.09
Kinetiq Earn,Yield Aggregator,Hyperliquid L1,4625,34712,131889,-16.49,-25.14
Rain,Prediction Market,Arbitrum,4612,15317,220008,14.24,83.75
Ekubo,Dexs,Starknet;Ethereum,4611,25314,111676,16.35,5.83
Bitget SOL,Liquid Staking,Solana,4608,15754,45072,,
ICP,Chain,ICP,4598,31388,132031,-12.72,-2.54
Curvance,Lending,Monad,4582,34075,117067,-8.85,55.85
Hylo LSTs,Liquid Staking,Solana,4550,16712,59240,,
Starknet,Chain,Starknet,4492,29751,150179,-8.33,-7.57
KPK,Risk Curators,Arbitrum;Ethereum,4458,34737,113783,-9.48,-11.37
SUNSwap V2,Dexs,Tron,4439,31622,212352,3.06,-35
Blackhole CLMM,Dexs,Avalanche,4432,36078,199750,-23.98,-28.08
Api3,Risk Curators,Ethereum,4431,50352,158576,-6.85,-67.49
THENA INTEGRAL,Dexs,BSC,4417,20116,97348,98.16,64.08
SSV Network,Staking Pool,Ethereum,4347,28614,107259,6.83,-15.76
Aquarius Stellar,Dexs,Stellar,4341,29707,160063,-41.94,27.56
marginfi LST,Liquid Staking,Solana,4291,15734,55711,,
Aave V2,Lending,Ethereum;Polygon;Avalanche,4279,32200,163508,-15.07,-33.38
Turbos,Dexs,Sui,4078,18817,89813,43.64,64.63
Olympus DAO,Reserve Currency,Arbitrum;Ethereum;Base;Berachain,3996,28045,127623,-0.12,5.77
GLIF,Liquid Staking,Base;Filecoin,3951,28196,111558,2.68,-9.92
PulseX V2,Dexs,PulseChain,3949,18839,123828,40.04,90.13
Inverse Finance FiRM,CDP,Ethereum,3920,27997,156903,-0.41,-3.92
ShMonad,Liquid Staking,Monad,3846,27447,126100,1.69,3.86
Overtime,Prediction Market,Polygon;Arbitrum;Base;OP Mainnet,3769,33964,262241,-0.21,19.92
SaucerSwap V2,Dexs,Hedera,3729,22902,110799,99.09,87.48
Moonwell Lending,Lending,Base;Moonbeam;Moonriver;OP Mainnet;Ethereum,3728,24023,188508,14.74,-57.28
Orderly Perps,Derivatives,Orderly Network,3725,38163,178005,-3.05,-53.31
Velora,DEX Aggregator,BSC;Ethereum;Avalanche;Polygon;Fantom;Arbitrum;OP Mainnet;Polygon zkEVM;Base,3720,33906,298760,-9.07,-43.54
DYLI,Physical TCG,Abstract,3710,31022,171939,-48.75,-0.27
Symbiotic,Restaking,Ethereum,3693,3699,118778,,-79.22
Rabby Wallet,Wallets,Ethereum;BSC;Base;Arbitrum;Gnosis;Berachain;Sonic;Abstract;Blast;Scroll;Unichain;Manta;Polygon;OP Mainnet;Mantle;Avalanche;Polygon zkEVM;ZKsync Era;Arbitrum Nova;Linea;Monad,3687,17196,80571,16.42,60.44
stUSDT,RWA,Ethereum;Tron,3679,25737,106117,-3.44,0.05
clanker,Launchpad,Base,3667,28196,351643,-20.21,-79.83
Permapod,Lending,ZIGChain,3654,27506,61904,44.6,9.04
Kittenswap Algebra,Dexs,Hyperliquid L1,3652,26709,167504,-23.49,-49.13
GroypFi,DEX Aggregator,TON,3642,12883,51523,50.93,505.99
Vault Bridge,Risk Curators,Ethereum,3631,24862,115950,-6.22,-1.52
SushiSwap Agg,DEX Aggregator,Ethereum;Arbitrum;OP Mainnet;Base;Polygon;Moonbeam;Polygon zkEVM;Mantle;Katana;Linea;ZKsync Era,3589,129392,264425,-34.01,-39.23
Bonk Staked SOL,Liquid Staking,Solana,3574,13142,46839,,
Hyperithm,Risk Curators,Ethereum;Katana;Arbitrum,3516,22885,128904,-9.92,-6.19
AlloX,DEX Aggregator,BSC;Base;Ethereum,3472,4826,13435,530.13,1577.29
Matcha,Trading App,Polygon;Ethereum;BSC;Mantle;Arbitrum;Base;OP Mainnet;Scroll;Avalanche;Plasma;Monad,3471,37235,142960,-52.08,-15.73
Quasar Builder,Block Builders,Ethereum,3460,23327,702090,-16.36,-17.87
Rhea Lend,Lending,Near,3459,34817,188953,-36.33,-25.05
YO Protocol,Yield Aggregator,Base,3421,13749,55415,41.19,303.42
Hybra V4,Dexs,Hyperliquid L1,3416,23110,64746,-14.81,-30.29
Galaxy Digital HYPE Staking,Staking Pool,Hyperliquid L1,3402,22864,65495,6.51,3.62
RealT RMM Marketplace V2,Lending,Gnosis,3390,23344,125422,-18.21,-30.83
Benqi Lending,Lending,Avalanche,3386,27381,136526,-11.59,-13.6
RockawayX,Risk Curators,Ethereum;Sei;BSC,3298,21407,72910,4.14,39.75
Looped Hype,Yield,Hyperliquid L1,3272,7246,22553,,
Volmex,Yield,Ethereum;Polygon;Arbitrum,3250,8888,8896,575.68,
Sui,Chain,Sui,3247,21666,118720,-0.79,-26.95
Kinetic,Lending,Flare,3199,22257,93679,10.54,10.04
AUTOfinance,Yield,Base;Ethereum;Sonic;Arbitrum;Plasma;Linea,3164,30021,117471,-14.35,417.84
DeDust,Dexs,TON,3159,15784,90329,4.19,9.69
Orai Quant Terminal,Onchain Capital Allocator,Chain_global,3132,21924,75168,0,0
Dreamcash Interface,Interface,Hyperliquid L1,3127,19799,90682,-13.4,18.31
Kodiak V3,Dexs,Berachain,3105,16372,85434,110.94,62.31
Render Network BME,DePIN,Solana,3105,28837,84933,23.56,-21.59
PrimeFi,Lending,Base;Hyperliquid L1;XDC,3094,17655,84528,28027.27,
Quickswap V3,Dexs,Polygon;Polygon zkEVM;Dogechain;Manta;Immutable zkEVM;Soneium;X Layer,3092,15149,84295,12.6,-24.88
Flying Tulip Yield,Services,Ethereum,3035,26482,113657,0.93,0.66
Avalanche,Chain,Avalanche,3025,19924,110479,-6.06,-46.62
SushiSwap,Dexs,Ethereum;Fantom;BSC;Polygon;Gnosis;Arbitrum;Avalanche;Moonriver;Celo;Fuse;Harmony;Boba;CORE;Blast;Katana;Metis;Sonic;Linea;OP Mainnet;Base,3019,27352,71029,-46.25,-36.75
Ape Church,Luck Games,ApeChain,3016,16380,104333,-1.82,-17.62
Venice,Farm,Base,3003,19827,238785,-8.61,10.28
Pepeboost,Telegram Bot,Solana,2999,18833,98949,78.94,55.87
Mantle Index Four Fund,RWA,Mantle,2971,20754,91864,2.38,-1.33
Integral,Dexs,Ethereum;Arbitrum,2957,22201,94251,-32.73,-1.5
Enosys AMM V3,Dexs,Flare;Songbird,2933,19203,136914,5.35,-14.54
Privacy Cash,Privacy,Solana;Base,2899,17605,66236,-9.94,24.1
Yearn Curating,Risk Curators,Base;Ethereum;Katana;Arbitrum,2879,22333,95464,-9.83,20.21
OpenEden USDO,RWA,Base;Ethereum,2869,18419,94293,799.37,-0.69
Abstract,Chain,Abstract,2863,17251,261184,13.21,18.31
Aegis YUSD,Basis Trading,Ethereum;BSC,2854,37288,145180,100.14,147.74
Moonshot Create,Launchpad,Solana,2819,11282,86403,79.21,24.29
Dango Perps,Derivatives,Dango Mainnet,2792,12070,78168,-32.23,26.16
Concrete,Onchain Capital Allocator,Ethereum;Berachain;Katana;Arbitrum;Stable,2785,42833,194570,-66.83,-19.39
ZeroLend Lending,Lending,Base;Blast;ZKsync Era;Zircuit;Ethereum;Manta;Linea;Corn;Abstract;Berachain;Hemi,2767,13973,90346,105.27,810.2
Sport.fun,Prediction Market,Base,2758,24089,119957,31.4,-14.82
Hydrex Integral,Dexs,Base,2722,29942,158414,-58.16,-48.52
Kyros,Liquid Restaking,Solana,2714,10249,32316,616.09,
Blend Backstop V2,Insurance,Stellar,2704,19973,77561,2.15,18.29
Liqwid,Lending,Cardano,2684,11105,91536,0,62.47
Solayer Restaking,Restaking,Solana,2684,9984,36105,,
Plasma Saving Vaults,Onchain Capital Allocator,Plasma,2679,18566,101013,-2.3,-4.12
Monero,Chain,Monero,2654,18389,81921,-7.69,8.15
Gemint,Physical TCG,BSC,2640,58566,87938,-54.65,-9.43
TON,Chain,TON,2640,17001,82753,18.12,6.84
Current,Lending,Sui,2637,14318,78976,49.07,12.36
Lighter Spot,Dexs,zkLighter,2605,14202,60182,-22.84,56.93
MetaMask USD,Stablecoin Issuer,Ethereum;Linea,2601,18933,89519,1.8,-2.66
Ethereal DEX,Derivatives,Ethereal,2590,17633,92303,-8.55,-16.42
Veno Finance,Liquid Staking,ZKsync Era;Cronos,2589,17761,83724,0.62,1.33
Piteas,DEX Aggregator,PulseChain,2546,9221,68479,-17.31,180.71
Nerona,Yield Aggregator,Fluent,2533,20859,112303,-1.67,-46.15
Echelon Market,Lending,Aptos;Movement,2529,16578,87522,-0.94,25.2
Shadow Exchange Legacy,Dexs,Sonic,2476,20436,28686,556.76,605.41
b402,Payments,Base,2452,16618,73646,-15.85,-22.82
Kinetiq Markets,Interface,Hyperliquid L1,2420,10158,68009,69.82,125.75
Balancer V3,Dexs,Ethereum;Gnosis;Arbitrum;OP Mainnet;Avalanche;Base;Hyperliquid L1;Plasma;Monad,2409,16766,97992,8.37,-16.5
b14g,Restaking,CORE;Babylon Genesis,2395,16184,71224,-3.74,15.81
Stargate V2,Cross Chain Bridge,Ethereum;BSC;Avalanche;Polygon;Arbitrum;OP Mainnet;Metis;Linea;Mantle;Base;Kava;Scroll;Aurora;Unichain;Abstract;Gnosis;LightLink;Sonic;Hemi;Soneium;Manta;Sei;Swellchain,2357,12172,104316,-37.99,-3.32
Bitwise USCC,Basis Trading,Ethereum;Solana;Plume Mainnet,2312,17391,97533,-1.74,-12.52
Osmosis DEX,Dexs,CosmosHub,2303,15975,146091,-6.91,-62.2
Futarchy AMM,Dexs,Solana,2303,17054,109396,4.63,-13.29
Katana Perps,Derivatives,Katana,2294,28108,88213,-26.36,172.77
Avant avETH,Onchain Capital Allocator,Ethereum,2271,13091,50961,23.16,27.73
Rootstock,Chain,Rootstock,2262,10821,40183,-9.66,83.31
EtherFi Borrowing Market,Lending,Scroll;OP Mainnet,2261,15806,68727,0,0.58
Atomic Perps,Interface,Hyperliquid L1,2253,4906,58626,328.33,160.16
Tria Card,Crypto Card Issuer,OP Mainnet,2218,12230,78854,40.65,48.56
Stride,Liquid Staking,Osmosis;CosmosHub;Stargaze;Juno;Evmos;Terra Classic;Celestia;dYdX;Dymension;Injective;UX;Comdex;HAQQ;BandChain,2195,15232,22368,1.67,-1.83
Somnia,Chain,Somnia,2172,8152,20861,-19.85,335.27
Bitlayer,Chain,Bitlayer,2163,5755,52137,28.44,645.86
Metascalp Perps,Interface,Hyperliquid L1,2154,12670,100922,-20.87,-5.48
THORSwap,DEX Aggregator,Ethereum,2152,19336,189546,-66.08,-46.9
Gamma,Liquidity Manager,BSC;OP Mainnet;Ethereum;Polygon zkEVM;Polygon;Arbitrum;Celo;Moonbeam;Avalanche;Fantom;Mantle;Rollux;Linea;Base;Kava;opBNB;Manta;Metis;Gnosis;Astar zkEVM;Immutable zkEVM;Scroll;Blast;X Layer;Mode;Taiko;Rootstock;Sei;IOTA EVM;CORE;Zircuit;World Chain;ApeChain;Sonic;BOB,2151,9793,51017,131.29,18.84
TeleSwap,Bridge,BOB;BSquared;Polygon;BSC,2143,14568,68479,-2.86,-17.26
MoonBot,Interface,Hyperliquid L1,2135,9036,120072,-12.57,-2.95
Filecoin,Chain,Filecoin,2106,49632,92178,0,1.3
Zircuit Staking,Farm,Ethereum,2105,14753,66584,0.53,8.51
UltraYield Vaults,Onchain Capital Allocator,Ethereum,2093,11699,34259,43.45,156.5
DTrade,Telegram Bot,TON,2092,3766,22243,,
Hydration Lending,Lending,Hydration,2080,15500,162966,-1.52,-20.09
Beefy,Yield Aggregator,Arbitrum;Base;Polygon;Avalanche;Fantom;OP Mainnet;BSC;Ethereum;Metis;Mantle;Mode;Linea;Gnosis;Cronos;Moonbeam;Scroll;Sonic;Berachain;Rootstock;Plasma;Monad;Hyperliquid L1;Saga,2059,17845,81489,23.29,-11.02
Native Credit Pool,Lending,Base;BSC;Arbitrum;Ethereum,2041,13727,50061,1.59,16.56
Capyfi,Lending,World Chain;Ethereum,2037,6312,25405,793.42,173.79
Mantle Restaking,Liquid Restaking,Ethereum,2029,31239,153188,-76.62,-8.36
Nansen Perps,Interface,Hyperliquid L1,2020,8267,33523,21.03,142.21
Hakutora,Risk Curators,Ethereum,2018,13128,69269,-3.9,6.55
Flux Finance,Lending,Ethereum,2011,46868,140117,-13.28,-51.26
Celo,Chain,Celo,1999,14047,57967,-31.59,8.58
SpringSui,Liquid Staking,Sui,1975,12867,56759,5.17,14.56
Phoenix Perp,Derivatives,Solana,1969,12497,64062,-24.3,-41.19
Affluent,Lending,TON,1960,15590,70030,-20.49,-13.77
Angstrom,Dexs,Ethereum,1942,14442,70013,-8.74,-49.06
Pear Interface,Interface,Hyperliquid L1,1896,9751,60863,14.35,27.68
Reya Perps,Derivatives,ReyaChain,1876,10200,62941,48.77,-14.1
Felix CDP,CDP,Hyperliquid L1,1857,17289,78121,4.27,-37.81
OP Mainnet,Chain,OP Mainnet,1828,8647,54698,27.12,4.04
ENI,Chain,ENI,1801,13037,52000,-15.49,7.65
Charm Finance V2,Liquidity Manager,Ethereum;Arbitrum;Berachain;Katana;Base,1789,5348,20557,-35.02,548.19
Joe V2.2,Dexs,Avalanche;Arbitrum;Monad,1787,10506,48032,39.94,-14.21
Telos Consilium,Risk Curators,Plasma;Ethereum,1778,11171,54028,-5.48,-4.25
DeepBook V3,Dexs,Sui,1772,11192,78095,-5.39,-34.52
Hydration DEX,Dexs,Hydration,1768,6792,43963,105.58,0.74
LeverUp,Derivatives,Monad,1756,20515,108490,-57.81,-43.59
Fluid Lite,Yield Aggregator,Ethereum,1747,19881,105396,-35.2,-40.4
Polygun,Interface,Polygon,1747,5791,26130,152.09,47.05
SolTradingBot,Telegram Bot,Solana,1745,10542,45031,3.25,58.49
Pyth Core,Oracle,Injective;Hemi;Hedera;Sei;Chiliz;Neon;Eventum;World Chain;Aurora;Ink;Ronin;KCC;Boba;Abstract;WEMIX3.0;Plasma;Manta;Meter;IOTA;Mantle;Polynomial;Camp Network;Cronos zkEVM;Conflux;ApeChain;Flow;Mezo;Merlin;Celo;Cronos;Swellchain;Superseed;Monad;Taiko;Scroll;Gnosis;Polygon;OP Mainnet;Polygon zkEVM;Blast;Unichain;Ethereum;Mode;ZKsync Era;Kaia;BSC;opBNB;Etherlink;Linea;Soneium;Arbitrum;Avalanche;Kava;Gravity by Galxe;Solana;Aptos;CORE;Morph;Near;Hyperliquid L1;Data Network;Base;Filecoin;Sui;ShimmerEVM;Sonic;ZetaChain;Berachain,1732,11884,58580,15.39,-2.75
Axiom Perps,Interface,Hyperliquid L1,1704,9743,55926,-25.69,16.16
TopStrike,Gaming,MegaETH,1681,16082,72942,-4.92,-73.56
Near,Chain,Near,1679,10528,56680,16.11,10.83
MemeMax,Interface,Orderly Network,1669,12984,659780,-22.73,-50.27
Bullpen Perps,Interface,Hyperliquid L1,1652,11089,76284,-11.66,-18.74
GETH,Liquid Staking,Ethereum,1640,10807,48228,4.99,9.33
Cooler Loans,Lending,Ethereum,1633,11910,51071,-14.28,-16.73
NodeDAO,Liquid Staking,Ethereum,1619,10629,48789,5.61,9.69
Smithii,Launchpad,Ethereum;Polygon;BSC;Base;Arbitrum;Avalanche;Solana;Blast;Sui,1613,6953,34966,17.05,279.53
ENS,Domains,Ethereum,1603,17683,122657,-64.94,-48.85
Rhea Dex,Dexs,Near,1597,16474,162910,-33.35,-51.81
MegaETH,Chain,MegaETH,1589,10493,48422,4.61,7
Extra Finance Leverage Farming,Leveraged Farming,OP Mainnet;Base,1581,10377,43086,8.36,9.11
DEXTools,Coins Tracker,Solana;Ethereum;Base;BSC,1572,19405,102177,-51.35,-60.64
AlphaSec Spot,Dexs,AlphaSec,1570,10883,61633,-2.85,-17.97
Jupiter Studio,Launchpad,Solana,1553,14271,93374,-59.23,98.59
Topaz CL,Dexs,BSC,1551,20004,75751,-17.5,-20.13
Clearpool TPOOL,RWA,Flare,1539,12704,62581,-8.99,-23.05
SparkDEX V4,Dexs,Flare,1528,9882,55876,43.47,-46.12
Fraxlend,Lending,Fraxtal;Arbitrum;Ethereum,1502,9344,29996,-50.38,53.89
HYENA,Interface,Hyperliquid L1,1491,13986,65402,-26.37,-20.18
Kumbaya,Dexs,MegaETH,1489,17271,168970,-40.39,-47.37
VVS Standard,Dexs,Cronos,1472,9669,56798,-6.3,-61.04
Hyperbeat Earn,Yield Aggregator,Hyperliquid L1,1453,15074,74179,-0.82,9
Stellar,Chain,Stellar,1439,9089,34834,-5.52,20.02
Frax Swap,Dexs,Harmony;Ethereum;Arbitrum;Avalanche;BSC;Aurora;Fraxtal;Moonbeam;Moonriver;Polygon;Fantom;OP Mainnet;Boba,1435,4701,33885,146.56,-80.09
WOOFi Swap,Dexs,BSC;Avalanche;Fantom;Polygon;Arbitrum;OP Mainnet;ZKsync Era;Linea;Base;Mantle;Sonic,1425,5962,20532,32.56,-18.99
CLever,Yield,Ethereum,1412,1412,13946,0,
Lagoon,Onchain Capital Allocator,Base;Ethereum;Arbitrum;Avalanche;Linea;Monad,1393,18253,78886,-78,-4.26
NTM.ai,SoFi,Ethereum;BSC;Avalanche;Solana;Tron;TON,1388,9759,41381,13.03,13.4
Mystic Finance Lending,Lending,Plume Mainnet,1374,11365,53675,-12.71,-14.71
StackingDAO,Liquid Staking,Stacks,1373,9897,45352,-3.72,-6.22
Swell Liquid Restaking,Liquid Restaking,Ethereum,1366,9001,43258,-9.66,0.66
Vest Markets,Derivatives,Off Chain,1363,14679,116236,-30.14,12.09
vfat.io,Yield Aggregator,OP Mainnet;Base;Arbitrum;Linea;Ethereum;Mode;Fantom;Mantle;BSC;Sonic;Fraxtal;Avalanche;Ink;Unichain;Katana;Polygon;Lisk,1355,6462,29393,54.5,70.23
o1.exchange,Trading App,Solana;Base;BSC,1350,9584,110974,-1.17,-48.98
BasedApp,Interface,Hyperliquid L1,1349,11695,94791,-42.38,-31.59
P2P.me,Payments,Polygon;Base,1337,8571,34182,-25.68,20.13
B.Protocol Curator,Risk Curators,Base;Ethereum,1334,9566,39659,-1.19,-0.82
Block Analitica,Risk Curators,Ethereum;Base,1334,9566,39647,-1.19,-0.82
Cardano,Chain,Cardano,1333,7240,45182,34.38,-12.42
Compound V2,Lending,Ethereum,1327,9716,40378,3.75,29.34
Quickswap Dex,Dexs,Polygon;Base,1326,426499,1028825,22.21,-29.69
Blockchain Wallet Perps,Interface,Hyperliquid L1,1322,5570,27164,5.42,85.41
Re7 Labs,Risk Curators,Polygon;BSC;BOB;Avalanche;World Chain;Berachain;Sonic;TAC;Ethereum;Base;Linea,1319,279,43629,-14.96,-41.89
W-DEX,Dexs,Polygon,1307,17682,131425,-61.45,30.18
TokenWorks,NFT Automated Strategies,Ethereum,1304,17035,129007,-0.23,-15.87
MagicSea LB,Dexs,IOTA EVM,1302,5846,23700,-33.5,538.24
TONCO,Dexs,TON,1300,2801,51653,240.31,351.39
PulseChain,Chain,PulseChain,1295,6941,56159,0,15.73
OpenTrade,RWA,Ethereum;Avalanche;Plume Mainnet,1283,11577,44510,2.64,0.47
Backpack SOL,Liquid Staking,Solana,1273,4665,16421,,
RateX DEX,Yield,Solana,1270,8057,32109,95.38,130.07
Katana DEX,Dexs,Ronin,1256,5694,33592,27.77,0.48
Storm Trade,Derivatives,TON,1251,11954,87030,-47.19,-61.75
Swell Liquid Staking,Liquid Staking,Ethereum,1248,11215,61234,-21.46,-26.5
Save SOL,Liquid Staking,Solana,1242,4568,16234,,
Agni Finance,Dexs,Mantle,1238,7052,38423,-6.85,-36.41
HyperDash,Interface,Hyperliquid L1,1235,11837,84581,-7.21,-22.33
LayerZero V1,Bridge,Fantom;Arbitrum;Polygon;BSC;Avalanche;OP Mainnet;Ethereum;Harmony;Celo;Aurora;Polygon zkEVM;Mantle;Linea;Base;Scroll;Blast;Mode;Tron;Flare;Ink;Sophon;Sonic;Abstract;Monad;Berachain;Unichain;Katana;Plume Mainnet;Data Network;Plasma;MegaETH,1231,9549,54975,93.25,-32.4
Moonlander,Derivatives,Cronos zkEVM;Cronos,1222,44217,152926,200.25,-85.6
40 Acres,Lending,Base;OP Mainnet;Avalanche,1208,1795,30928,,-40.7
OpenLedger,Decentralized AI,Open,1203,8113,44107,1.26,12.22
Perpl,Derivatives,Monad,1201,27975,75292,-75.2,-73.11
ElfomoFi,Dexs,Base,1200,5799,21191,0,177.78
Scallop Lend,Lending,Sui,1193,8715,54966,2.76,-3.63
